month,date,hour,peak_flat_valley,power_num,id,lstm
7,20,1,0,16933,41012,16973.0945892334
7,20,2,0,17809,41013,17847.37958353758
7,20,3,0,17690,41014,17722.10047405958
7,20,4,0,17407,41015,17441.116153120995
7,20,5,0,17713,41016,17754.40058094263
7,20,6,0,17607,41017,17648.566132307053
7,20,7,0,17531,41018,17571.479846656322
7,20,8,1,17147,41019,17187.509284436703
7,20,9,1,16198,41020,16236.392715096476
7,20,10,1,15120,41021,15156.811840653421
7,20,11,1,16460,41022,16510.441204726696
7,20,12,1,15611,41023,15646.738517403604
7,20,13,1,17907,41024,17945.160450160503
7,20,14,2,17404,41025,17436.88410562277
7,20,15,2,17335,41026,17367.979194939137
7,20,16,2,17749,41027,17794.59058982134
7,20,17,1,18994,41028,19038.953476667404
7,20,18,1,19416,41029,19451.17503476143
7,20,19,2,18452,41030,18488.122078299522
7,20,20,2,18125,41031,18173.293631494045
7,20,21,2,17605,41032,17654.355328202248
7,20,22,1,17270,41033,17315.79502952099
7,20,23,1,17532,41034,17575.582350611687
7,21,0,0,17047,41035,17081.752736985683
7,21,1,0,16549,41036,16582.68448752165
7,21,2,0,16544,41037,16583.73484057188
7,21,3,0,16461,41038,16500.45934957266
7,21,4,0,16376,41039,16413.71944409609
7,21,5,0,15616,41040,15649.576221227648
7,21,6,0,14231,41041,14260.317131102085
7,21,7,0,13819,41042,13858.227978765965
7,21,8,1,13499,41043,13541.204294085503
7,21,9,1,13399,41044,13436.801826775074
7,21,10,1,13995,41045,14033.864514648914
7,21,11,1,13536,41046,13568.07582628727
7,21,12,1,13657,41047,13688.716751754284
7,21,13,1,14522,41048,14564.794348597527
7,21,14,2,14313,41049,14351.59281116724
7,21,15,2,15245,41050,15284.021849155428
7,21,16,2,15067,41051,15107.2789413929
7,21,17,1,16461,41052,16503.118493378162
7,21,18,1,16306,41053,16347.845677256586
7,21,19,2,16782,41054,16820.758385181427
7,21,20,2,16693,41055,16734.632060945034
7,21,21,2,16765,41056,16806.049941301346
7,21,22,1,17495,41057,17537.218205451965
7,21,23,1,17296,41058,17333.60464078188
7,22,0,0,16845,41059,16880.32915842533
7,22,1,0,17050,41060,17090.476794362068
7,22,2,0,17490,41061,17530.842562437057
7,22,3,0,17873,41062,17909.784559428692
7,22,4,0,17840,41063,17875.363614678383
7,22,5,0,17788,41064,17826.59747314453
7,22,6,0,17597,41065,17638.705943048
7,22,7,0,16966,41066,17007.485773980618
7,22,8,1,15881,41067,15919.831185758116
7,22,9,1,14760,41068,14796.939003288748
7,22,10,1,13982,41069,14019.494809627533
7,22,11,1,13894,41070,13933.953181922436
7,22,12,1,14022,41071,14059.889637351036
7,22,13,1,14153,41072,14186.428295195103
7,22,14,2,14905,41073,14941.28464651108
7,22,15,2,15663,41074,15702.362589061262
7,22,16,2,17131,41075,17172.23802638054
7,22,17,1,17726,41076,17766.289702177048
7,22,18,1,17825,41077,17865.809778392315
7,22,19,2,18739,41078,18785.72823625803
7,22,20,2,19182,41079,19226.68657851219
7,22,21,2,17901,41080,17943.313579380512
7,22,22,1,16975,41081,17022.42442023754
7,22,23,1,17045,41082,17096.619609117508
7,23,0,0,16704,41083,16745.199487924576
7,23,1,0,17297,41084,17334.396782040596
7,23,2,0,17462,41085,17493.977796256542
7,23,3,0,17011,41086,17039.96181499958
7,23,4,0,17599,41087,17637.63720881939
7,23,5,0,17977,41088,18016.86630231142
