数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/7/30,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,887.18,0,0,0,0
2013/7/31,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1384.06,0,0,0,0
2013/8/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1367.18,0,0,0,0
2013/8/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1264.76,0,0,0,0
2013/8/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,300,0,0,0,0
2013/8/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,259.22,0,0,0,0
2013/8/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1456.01,0,0,0,0
2013/8/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1481.56,0,0,0,0
2013/8/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1599.22,0,0,0,0
2013/8/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1586.4,0,0,0,0
2013/8/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1427.18,0,0,0,0
2013/8/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,997.58,0,0,0,0
2013/8/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,708.82,0,0,0,0
2013/8/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1507.26,0,0,0,0
2013/8/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1511.87,0,0,0,0
2013/8/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1543.28,0,0,0,0
2013/8/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1526.4,0,0,0,0
2013/8/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1402.42,0,0,0,0
2013/8/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1169.53,0,0,0,0
2013/8/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1092.02,0,0,0,0
2013/8/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1419.92,0,0,0,0
2013/8/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1457.66,0,0,0,0
2013/8/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1464.84,0,0,0,0
2013/8/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1380,0,0,0,0
2013/8/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1232.73,0,0,0,0
2013/8/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,828.82,0,0,0,0
2013/8/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,359.14,0,0,0,0
2013/8/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1351.25,0,0,0,0
2013/8/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1400.78,0,0,0,0
2013/8/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1377.66,0,0,0,0
2013/8/29,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1327.18,0,0,0,0
2013/8/30,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1127.97,0,0,0,0
